Unnamed: 0,mouse,sex,date,probe,protocol,UnitID,firing_rate,snr,Flag_SingleUnit,isi_violations_ratio,isi_violations_rate,isi_violations_count,position,slope,Tr.2 Peak (ms),Peak2 Tr. ratio,name Wav,DV_exact,wilc_WaterCold,resp_binWaterCold,sign_binWaterCold,sign_WaterCold,latWaterCold,resp_WaterCold,wilc_WaterHot,resp_binWaterHot,sign_binWaterHot,sign_WaterHot,latWaterHot,resp_WaterHot,wilc_SalivaCold,resp_binSalivaCold,sign_binSalivaCold,sign_SalivaCold,latSalivaCold,resp_SalivaCold,wilc_SalivaHot,resp_binSalivaHot,sign_binSalivaHot,sign_SalivaHot,latSalivaHot,resp_SalivaHot,95% shuffle,SVM_W,SVM_AS
11,CB347,M,32123,tetrodes,water_and_saliva,45,0.507088683,12.0073662,True,0.0,0.0,0,none,-5.177864294,0.725,-0.300626305,waveforms_45.npy,,"[0.6720969384209414, 0.6868628636128575, 0.599037171009317, 0.37338717013783806]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.45818539267141567, 0.9509824989716867, 0.07726962844785722, 0.5774806453283354]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7037552435600076, 0.4503142755112408, 0.6915230036473563, 0.9479402265871469]",[],"[0, 0, 0, 0]",0.0,,0.0,"[1.0, 1.0, 0.16657094725166677, 0.09440034897225749]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
12,CB347,M,32123,tetrodes,water_and_saliva,47,12.38593052,4.270194738,True,0.032198915,0.01481903,32,none,-1.541100076,0.325,-0.350453172,waveforms_47.npy,,"[1.9073486328125e-06, 1.9073486328125e-06, 1.9073486328125e-06, 1.9073486328125e-06]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,176.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,216.0,1.0,"[1.1920928955078125e-06, 2.867398756281929e-05, 2.8612937822758165e-05, 2.384185791015625e-07]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,146.0,1.0,"[2.384185791015625e-07, 2.384185791015625e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,0.0,1.0,0.6259999999999999,0.8546666666666667,0.71125
13,CB347,M,32123,tetrodes,water_and_saliva,49,13.20560811,7.437241272,True,0.012392524,0.006483326,14,none,-3.458558559,0.725,-0.296103896,waveforms_49.npy,,"[9.435531950033576e-05, 9.133532230916859e-05, 1.9073486328125e-05, 0.00011004633633437383]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,117.0,1.0,"[0.005107393436949751, 0.0005096469536407728, 0.006809343748589354, 0.007816963986528534]","[0, 1, 0, 0]",[1],1.0,26.0,1.0,"[0.00012389887174587362, 0.0029820578879073472, 3.923032153038549e-05, 4.4698981531949005e-05]","[1, 0, 1, 1]","[1, -1, -1]",1.0,210.0,1.0,"[0.003201125604354111, 0.058413408570881856, 0.00048174863409672873, 0.005224623440061338]","[0, 0, 1, 0]",[-1],-1.0,390.0,1.0,0.5848,0.6066666666666667,0.65
14,CB347,M,32123,tetrodes,water_and_saliva,51,1.447633994,5.705707123,True,0.0,0.0,0,none,-1.947058824,0.875,-0.214532872,waveforms_51.npy,,"[0.6721282953486711, 0.936609371296571, 0.42458041863779383, 0.42458041863779383]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.45818539267141567, 0.6972485336323417, 0.3457178159477038, 0.5774806453283354]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7409031574718552, 0.6948866023724733, 0.6948866023724733, 0.9866167687059191]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.17274094392390216, 0.09731551956511707, 0.5207995359299524, 0.25053597441363773]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
15,CB347,M,32123,tetrodes,water_and_saliva,56,0.746508637,10.76441839,True,0.276999427,0.000463095,1,none,-4.749083578,0.85,-0.227615063,waveforms_56.npy,,"[0.6766573217164245, 0.42453187014444405, 0.2506051749618906, 0.021474082514810876]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7003113729368902, 0.9874076640866827, 0.9874076640866827, 0.34580646800441783]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6948866023724733, 1.0, 0.0897436365826072, 0.026505022252287142]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7003113729368902, 0.9874076640866827, 0.5185753812460396, 0.9874076640866827]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
16,CB347,M,32123,tetrodes,water_and_saliva,61,5.672446829,8.539163092,True,0.009594839,0.000926189,2,none,-3.956284761,0.675,-0.256257449,waveforms_61.npy,,"[0.8045246876276887, 0.7590491849329482, 0.634659607061884, 0.07610570752398481]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.007969046585475236, 0.014414658639304035, 0.16059484623393583, 0.7175817343017101]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.051908409444965754, 0.028599010455955552, 0.15123238668612143, 0.1695829468223985]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.0042803919155478395, 0.0022080272891255573, 0.002373209097962645, 0.0844131502885597]","[0, 1, 1, 0]","[-1, -1]",-1.0,128.0,1.0,,,
17,CB347,M,32123,tetrodes,water_and_saliva,62,0.919242955,6.606197663,True,0.0,0.0,0,none,-2.178793988,0.8,-0.212698413,waveforms_62.npy,,"[0.42453187014444405, 1.0, 0.42458041863779383, 0.6766573217164245]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7003113729368902, 0.7003113729368902, 1.0, 1.0]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.4503461414929122, 0.4503461414929122, 0.4503461414929122, 0.4503461414929122]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.45818539267141567, 0.45818539267141567, 0.45818539267141567, 0.45821338747584006]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
18,CB347,M,32123,tetrodes,water_and_saliva,70,12.57626243,9.316131772,True,0.02732772,0.012966651,28,none,-4.109625668,0.725,-0.254237288,waveforms_70.npy,,"[5.7220458984375e-06, 9.342828883492249e-05, 0.0001261002515642381, 0.0003328220916323718]","[1, 1, 1, 1]","[-1, -1, -1, 1]",-1.0,140.0,1.0,"[0.0006895809882552005, 0.00012504635361066974, 0.03778686239167284, 0.6469970358426209]","[1, 1, 0, 0]","[1, -1]",1.0,14.0,1.0,"[2.7236824941340717e-05, 2.384185791015625e-07, 2.384185791015625e-07, 2.384185791015625e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,119.0,1.0,"[4.569278454003716e-05, 2.164652602273577e-05, 0.00011814919548595783, 0.016094603053288362]","[1, 1, 1, 0]","[-1, -1, 1]",-1.0,147.0,1.0,0.6068666666666668,0.7946666666666666,0.83625
19,CB347,M,32123,tetrodes,water_and_saliva,73,11.0800035,4.973395582,True,0.038978978,0.014355935,31,none,-3.186497326,0.75,-0.342541436,waveforms_73.npy,,"[9.5367431640625e-06, 1.33514404296875e-05, 0.001695524084579498, 0.001689910888671875]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,17.0,1.0,"[7.363379917659478e-05, 0.008837001355920509, 0.9315505614920337, 0.4146467381546791]","[1, 0, 0, 0]",[1],1.0,80.0,1.0,"[2.384185791015625e-07, 2.384185791015625e-07, 6.277944837617991e-05, 0.00011686155378375674]","[1, 1, 1, 1]","[-1, 1, 1, 1]",-1.0,5.0,1.0,"[2.4232529902270854e-05, 2.5088923594513157e-05, 0.0025472208646534268, 0.000771535842074085]","[1, 1, 0, 1]","[1, 1, 1]",1.0,197.0,1.0,0.6088666666666667,0.6426666666666666,0.9025
20,CB347,M,32123,tetrodes,water_and_saliva,76,0.554787436,7.747189009,True,0.0,0.0,0,none,-3.765599343,0.85,-0.265888457,waveforms_76.npy,,"[0.42453187014444405, 0.42453187014444405, 0.6868628636128575, 0.42453187014444405]",[],"[0, 0, 0, 0]",0.0,,0.0,"[1.0, 1.0, 0.7003113729368902, 0.7003113729368902]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.4503142755112408, 0.4503142755112408, 0.4503142755112408, 0.4503142755112408]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.053948702805049896, 0.028215698037638702, 0.02824204776283331, 0.05410702531683165]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
21,CB347,M,32123,tetrodes,water_and_saliva,80,2.265922307,7.60653579,True,0.090194441,0.001389284,3,none,-2.675,0.75,-0.249221184,waveforms_80.npy,,"[0.20520478725926805, 0.6766573217164245, 0.7318628119079937, 0.20520478725926805]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.029142892001343144, 0.0907253055911341, 0.19157572489057095, 0.748348568843747]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7409031574718552, 0.7409031574718552, 0.7409031574718552, 0.513741355208198]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.008337278640381439, 0.20352874115870956, 0.009132511302134586, 0.008337278640381439]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
0,CB348,M,32123,tetrodes,water_and_saliva,1,9.690823833,10.52172517,True,0.055668851,0.01568393,34,none,-4.358491896,0.4,-0.396551724,waveforms_1.npy,,"[5.839355436556446e-05, 6.556510925292969e-06, 3.5762786865234375e-07, 3.817109652234262e-05]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,148.0,1.0,"[0.00021035451537311015, 0.0005851420244320551, 0.0006847743934503856, 0.0015530767225760975]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,167.0,1.0,"[3.183829322617684e-05, 0.0006913345753549368, 1.633167266845703e-05, 0.00015078262389323758]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,192.0,1.0,"[1.3113021850585938e-05, 0.26226429645979643, 0.0006192744781003181, 0.02199852542174765]","[1, 0, 1, 0]","[1, 1]",1.0,206.0,1.0,0.6163124999999999,0.6125,0.6525
1,CB348,M,32123,tetrodes,water_and_saliva,13,2.041217415,22.19065721,True,0.0,0.0,0,none,-31.32637363,0.15,-0.531731362,waveforms_13.npy,,"[0.01634394841768245, 0.05330855178155191, 0.027749752921965083, 0.08743828962601079]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.18253685344184845, 0.053948702805049896, 0.09914324776691916, 0.4075950171737024]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.03207045425997535, 0.07708807769741215, 0.026532791632230934, 0.08813545414463489]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.1968186156778936, 0.02895923959293457, 0.11139324354345938, 0.303714895984486]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
2,CB348,M,32123,tetrodes,water_and_saliva,18,2.713319963,10.26479984,True,0.0,0.0,0,none,-3.872039725,0.825,-0.30617284,waveforms_18.npy,,"[0.7003113729368902, 1.0, 1.0, 0.7003113729368902]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.45818539267141567, 0.45818539267141567, 0.7003113729368902, 0.45821338747584006]",[],"[0, 0, 0, 0]",0.0,,0.0,"[1.0, 0.45818539267141567, 1.0, 0.7003113729368902]",[],"[0, 0, 0, 0]",0.0,,0.0,"[1.0, 1.0, 0.7003113729368902, 0.2829670132562849]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
3,CB348,M,32123,tetrodes,water_and_saliva,22,10.92201237,5.627549147,True,0.025779792,0.009225841,20,none,-1.112078446,0.375,-0.295,waveforms_22.npy,,"[0.006900416061839403, 0.0049984136544381896, 0.0015072779457658146, 0.14207165982695344]","[0, 0, 1, 0]",[-1],-1.0,155.0,1.0,"[0.22386836566854895, 0.4270380260201345, 0.9085267646463586, 0.2277520618836555]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.001675289543073295, 0.0008306611071092696, 0.003122821835433465, 0.05069403855155824]","[1, 1, 0, 0]","[1, -1]",1.0,209.0,1.0,"[0.020531703463866, 0.036846060509838144, 0.490739402787407, 0.32957674907290735]",[],"[0, 0, 0, 0]",0.0,,0.0,0.6014999999999999,0.6325,0.68625
4,CB348,M,32123,tetrodes,water_and_saliva,23,0.600602277,4.796128125,True,0.426266091,0.000461292,1,none,0.047619048,0.15,-0.070588235,waveforms_23.npy,,"[0.4424980466684395, 0.28714740257408156, 0.28714740257408156, 0.2942280731054633]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.2757766867263942, 0.9767857943714133, 0.2757766867263942, 0.19533589627461667]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.25015014804655045, 0.16308357001470453, 0.05175207747905237, 0.11605578716308634]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.5185753812460396, 0.9874076640866827, 0.5185753812460396, 0.7438256982527363]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
5,CB348,M,32123,tetrodes,water_and_saliva,26,1.024068398,5.475135796,True,0.0,0.0,0,none,-1.711153846,0.15,-0.220302376,waveforms_26.npy,,"[0.0010431427990739664, 0.00010567682030115389, 0.00017231344882845176, 0.00010463928766680522]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,0.0,1.0,"[0.0025806930995642785, 0.004465450411326829, 0.0001692775536276032, 0.0005863081935090168]","[0, 0, 1, 1]","[-1, -1]",-1.0,563.0,1.0,"[0.0007837055406458003, 0.0015341047515176336, 0.0007034304461514633, 0.002122424143340251]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,0.0,1.0,"[0.00489793430244233, 0.008269559905033533, 0.008944286211295002, 0.005849384825955463]",[],"[0, 0, 0, 0]",0.0,,0.0,0.597875,0.595,0.48
6,CB348,M,32123,tetrodes,water_and_saliva,35,2.130708077,7.241740596,True,0.067738695,0.000922584,2,none,-3.184491979,0.725,-0.317152104,waveforms_35.npy,,"[1.1920928955078125e-07, 1.873011100936e-05, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,136.0,1.0,"[0.00023785059823206963, 0.0001289642929628045, 4.034356675870289e-05, 5.331231138832292e-05]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,57.0,1.0,"[4.7471083274611436e-05, 2.3794041790049817e-05, 2.082047069449243e-05, 2.4372320073053422e-05]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,158.0,1.0,"[0.10127170467911087, 0.008480993345156928, 0.002295548740897817, 0.014153045365015805]","[0, 0, 1, 0]",[-1],-1.0,314.0,1.0,0.61325,0.77375,0.72125
7,CB348,M,32123,tetrodes,water_and_saliva,49,0.947955206,16.09732254,True,0.342222925,0.000922584,2,none,-6.149562124,0.8,-0.290322581,waveforms_49.npy,,"[0.2942280731054633, 0.4424980466684395, 0.2755089941140232, 0.46067286596443746]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.7204236323869884, 0.7003113729368902, 0.7087943275311224, 0.3306384756724594]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.09099983036329837, 0.22345536994096638, 0.14226888430948667, 0.23210680934659134]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.6703722895858626, 0.6703722895858626, 0.846025435615821, 0.7038392972460492]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
8,CB348,M,32123,tetrodes,water_and_saliva,52,17.48389208,27.36377911,True,0.0,0.0,0,none,-5.278011204,0.875,-0.169941061,waveforms_52.npy,,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, 1, -1, -1]",-1.0,12.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, 1, -1, -1]",1.0,201.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,25.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[-1, -1, 1, -1]",-1.0,211.0,1.0,0.657625,0.7325,0.78
9,CB348,M,32123,tetrodes,water_and_saliva,65,3.283015671,3.791931599,True,0.085597302,0.002767752,6,none,-2.142172961,0.75,-0.348684211,waveforms_65.npy,,"[3.3053730115940095e-05, 0.0004087658871610585, 8.524723396363966e-05, 0.0007423162460327148]","[1, 1, 1, 1]","[-1, 1, 1, 1]",-1.0,10.0,1.0,"[0.00015384704610522685, 0.0010209293522960906, 0.0002153619115474186, 0.00017191519302761272]","[1, 1, 1, 1]","[-1, 1, 1, 1]",-1.0,2.0,1.0,"[0.0005509324475091718, 0.004915619849988278, 0.005879897882500776, 0.001091480684113353]","[1, 0, 0, 1]","[1, 1]",1.0,196.0,1.0,"[0.005059553106170812, 0.02491681890812735, 0.058413408570881856, 0.052405542095949754]",[],"[0, 0, 0, 0]",0.0,,0.0,0.59125,0.56125,0.4475
10,CB348,M,32123,tetrodes,water_and_saliva,70,22.91975785,6.626234061,True,0.010244782,0.016145222,35,none,-4.333333333,0.125,-0.252204586,waveforms_70.npy,,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,0.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, 1, 1, -1]",1.0,67.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,0.0,1.0,"[1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07, 1.1920928955078125e-07]","[1, 1, 1, 1]","[1, 1, 1, 1]",1.0,69.0,1.0,0.61125,0.7225,0.8825
11,CB348,M,32123,tetrodes,water_and_saliva,77,1.922204061,9.016254909,True,0.083231122,0.000922584,2,none,-1.544397759,0.775,-0.162162162,waveforms_77.npy,,"[1.8528110688022397e-05, 1.885956727834317e-05, 1.9045739831198418e-05, 1.871167518099999e-05]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,3.0,1.0,"[1.6689300537109375e-06, 1.7543987726121882e-05, 1.8075471362837514e-05, 1.8111354821031812e-05]","[1, 1, 1, 1]","[1, -1, -1, -1]",1.0,163.0,1.0,"[0.00013106662822857628, 4.6517307328475116e-05, 2.374707951976534e-05, 2.86370654368445e-05]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,0.0,1.0,"[0.000903892771998186, 9.147777824865444e-05, 5.085393276005226e-05, 0.0001376943944955272]","[1, 1, 1, 1]","[-1, -1, -1, -1]",-1.0,179.0,1.0,0.6164375,0.67375,0.54625
12,CB348,M,32123,tetrodes,water_and_saliva,80,3.132634456,5.708993643,True,0.047006352,0.001383876,3,none,-5.0,0.125,-0.077294686,waveforms_80.npy,,"[0.17297088408044803, 0.29512381772081175, 0.09731551956511707, 0.2373017786499999]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.05097785089949853, 0.17297088408044803, 0.24857917257333995, 0.05375090456282328]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.4065808058626247, 0.28714740257408156, 0.5958830905651777, 0.8718887714676588]",[],"[0, 0, 0, 0]",0.0,,0.0,"[0.860371799858856, 0.42014532696137175, 0.45507733845141984, 0.8161247546682988]",[],"[0, 0, 0, 0]",0.0,,0.0,,,
